rows,cols,strengths
0,120,1
0,452,1
0,938,1
0,1204,1
0,1237,1
0,1431,1
0,3984,1
0,6337,1
0,11730,1
0,17741,1
0,119080,1
1,1396,1
1,1662,1
1,1714,1
1,1770,1
1,2957,1
1,2975,1
1,3241,1
1,3951,1
1,4106,1
1,7983,1
1,10040,1
1,32432,1
2,199,1
2,577,1
2,621,1
2,752,1
2,3397,1
2,3606,1
2,13887,1
2,16755,1
2,18210,1
2,160917,1
3,171,1
3,190,1
3,538,1
3,662,1
3,838,1
3,1270,1
3,1472,1
3,2159,1
3,3495,1
3,6184,1
3,7763,1
3,9690,1
3,11421,1
3,11545,1
3,22202,1
3,22928,1
3,28709,1
3,38737,1
3,44291,1
3,74017,1
4,99,1
4,1007,1
4,1890,1
4,5035,1
4,11174,1
4,41085,1
4,72491,1
5,42,1
5,144,1
5,1036,1
5,1243,1
5,2111,1
5,5782,1
5,22812,2
6,1111,1
6,1912,1
6,4055,1
6,5009,1
6,5755,1
6,6310,1
6,10946,1
6,11488,1
6,12202,1
6,18331,1
6,23083,1
6,56825,1
7,5,1
7,28,1
7,259,1
7,432,1
7,541,1
7,797,1
7,1351,1
7,1607,1
7,2391,1
7,2499,1
7,2988,1
7,3641,1
7,15243,1
7,17330,2
7,17389,1
7,45798,3
8,60,1
8,282,1
8,374,1
8,498,1
8,804,1
8,817,1
8,2389,1
8,3955,1
8,5790,1
8,8929,1
8,76209,2
9,268,1
9,385,1
9,577,1
9,3257,2
9,3523,1
9,10480,3
9,12968,1
9,73452,2
9,74163,1
9,84359,1
10,289,1
10,642,1
10,725,1
10,824,1
10,979,1
10,1007,1
10,1394,1
10,1805,1
10,2550,1
10,4970,1
10,34945,1
10,74162,1
10,94079,1
10,119519,1
11,1103,2
11,2190,1
11,2474,1
11,3940,1
11,4856,1
11,7950,1
11,24967,1
11,26059,1
12,171,1
12,343,1
12,718,2
12,838,1
12,2194,1
12,8215,1
12,11911,1
12,14355,1
12,54863,1
12,56811,2
12,77803,2
13,239,1
13,424,1
13,502,1
13,873,1
13,1431,1
13,2003,1
13,4283,2
13,5020,1
13,5505,1
13,8684,1
13,9031,1
13,29077,1
13,34429,1
13,54728,1
14,1160,1
14,1294,1
14,1474,1
14,1613,2
14,4033,1
14,4197,1
14,4988,1
14,5229,1
14,5715,1
14,8887,1
14,11948,1
14,79681,1
15,220,1
15,276,1
15,590,1
15,1477,1
15,3273,2
15,3438,1
15,4482,1
15,4914,1
15,5414,2
15,5834,1
15,7039,1
15,8638,3
15,34726,2
15,44064,1
15,74154,1
16,49,1
16,241,1
16,434,1
16,684,1
16,923,1
16,1432,1
16,1483,1
16,3219,1
16,3295,1
16,3591,1
16,4617,1
16,5603,1
16,6194,1
16,8770,1
16,22149,1
16,24306,2
16,47419,2
17,836,1
17,2910,1
17,3495,1
17,9396,1
17,10335,1
17,27410,2
18,202,1
18,837,1
18,1007,1
18,1462,1
18,1788,1
18,2413,1
18,5533,2
18,7036,1
18,8688,1
18,11322,1
18,13932,2
18,18092,1
18,18335,2
18,23288,1
18,153317,1
19,535,1
19,590,1
19,1821,1
19,2064,1
19,2244,1
19,2453,1
19,3024,1
19,3099,1
19,4389,1
19,4539,1
19,5894,1
19,9197,1
19,16577,1
19,20092,1
19,22517,6
19,30040,1
19,39127,2
20,77,1
20,154,1
20,496,1
20,663,1
20,1236,1
20,2391,1
20,2490,1
20,2498,1
20,8596,1
20,8741,1
20,11423,1
20,27622,1
21,641,1
21,4870,1
21,4959,1
21,5914,1
21,6707,1
21,15864,1
21,22825,1
21,29364,1
21,36674,1
21,55823,1
21,73165,1
22,140,1
22,550,1
22,1671,1
22,4981,1
22,17553,1
23,202,1
23,801,1
23,2919,1
23,3502,1
23,3746,2
23,4053,1
23,6221,1
23,16017,1
23,26283,1
23,28081,1
23,42933,1
23,65918,3
24,1996,1
24,2151,1
24,4149,1
24,6391,1
24,10049,3
24,11957,1
25,299,1
25,1118,1
25,1605,1
25,1866,1
25,3047,1
25,4163,1
25,4700,1
25,6579,1
25,7172,1
25,7447,1
25,7692,1
25,12383,2
25,18931,1
25,25218,1
25,63718,1
26,170,1
26,1338,1
26,1808,1
26,3632,1
26,5072,1
26,5180,1
26,10732,1
26,11772,1
26,12846,1
26,35769,1
27,849,1
27,922,1
27,1080,1
27,1253,1
27,1401,1
27,1513,1
27,4135,1
27,4843,1
27,14465,1
27,40355,1
28,118,2
28,1096,1
28,1164,1
28,2579,1
28,4956,1
28,5638,1
28,5641,1
28,11321,1
28,11532,1
29,1239,1
29,1730,1
29,1916,1
29,2231,1
29,4599,1
29,11840,1
29,19181,1
29,20487,1
29,52768,2
30,238,1
30,380,1
30,395,1
30,521,1
30,2102,1
30,2355,1
30,2556,1
30,3219,1
30,3301,1
30,3553,1
30,7664,1
30,15809,1
30,19336,1
30,20441,3
30,54005,1
31,72,1
31,846,1
31,1176,1
31,2228,1
31,2268,1
31,8913,1
31,9665,1
31,12896,2
31,14052,1
31,29312,2
31,30718,2
32,635,1
32,737,1
32,875,1
32,1066,1
32,1590,1
32,1677,1
32,2425,1
32,3616,1
32,3760,1
32,4112,1
32,9834,1
32,12123,1
32,22838,1
32,32535,1
33,78,1
33,559,1
33,717,1
33,1045,1
33,1710,1
33,3969,1
33,4292,1
33,6516,1
33,11316,1
33,25535,1
33,44625,1
33,147383,2
34,262,1
34,573,1
34,657,1
34,2462,1
34,3446,1
34,3679,1
34,5310,1
34,5789,1
34,8284,1
34,9336,1
34,10065,1
34,13707,1
34,38615,1
34,43879,2
34,67426,2
34,68933,3
34,86488,5
35,392,1
35,416,1
35,738,1
35,1050,1
35,2514,1
35,3745,1
35,5233,1
35,6739,1
35,8225,1
35,8713,1
35,8880,1
35,9133,1
35,10095,1
35,15888,1
35,35385,1
35,47601,1
35,51900,1
36,9,1
36,169,1
36,187,1
36,889,1
36,1425,1
36,1879,1
36,2003,1
36,2403,1
36,3045,1
36,3507,1
36,4310,1
36,4648,1
36,15325,1
36,18402,1
36,19215,1
36,67631,1
37,228,1
37,3653,1
37,4244,1
37,5137,2
37,6491,1
37,8287,1
37,10350,1
37,10442,1
37,13608,2
37,23018,1
37,24840,1
38,168,1
38,1963,1
38,2630,1
38,28260,1
38,36253,1
38,70863,1
39,262,1
39,291,1
39,503,2
39,620,1
39,1032,1
39,1102,1
39,2461,1
39,2713,1
39,3008,2
39,6210,1
39,11532,1
39,20107,1
39,26448,1
39,34919,2
39,82096,2
39,139474,1
40,23,1
40,1082,2
40,3812,2
40,4534,1
40,7042,1
40,16827,2
40,22232,1
41,490,1
41,562,1
41,2016,1
41,2473,1
41,2767,1
41,4727,1
41,5516,1
41,6672,1
41,7299,1
41,8522,1
41,9371,1
41,9561,1
41,18004,1
41,53751,4
41,56835,1
42,232,1
42,799,1
42,2038,2
42,2274,1
42,2503,1
42,3862,1
42,4303,1
42,4604,1
42,5939,1
42,7630,1
42,7827,1
42,12217,1
42,16529,1
42,41336,1
43,42,1
43,160,1
43,326,1
43,734,1
43,1161,1
43,1227,1
43,1976,1
43,6326,1
43,7564,1
43,13000,2
43,14130,2
43,27909,1
43,69619,1
43,143804,1
44,18,1
44,160,1
44,241,1
44,316,1
44,369,1
44,791,1
44,1893,1
44,1982,1
44,2148,2
44,3404,1
44,5605,1
44,12373,2
44,18465,1
44,149044,1
45,100,1
45,457,1
45,817,1
45,1409,1
45,3130,1
45,6140,1
45,8547,1
45,20330,2
46,118,1
46,529,1
46,655,1
46,3431,1
46,4287,1
46,5611,1
46,5684,1
46,7217,1
46,12669,1
46,15783,1
46,17019,1
46,44182,1
46,53841,1
46,55401,2
47,739,1
47,3604,1
47,4750,1
47,6035,1
47,9842,1
47,14570,1
47,30408,2
47,57809,2
48,95,1
48,165,1
48,572,1
48,930,1
48,1059,1
48,2173,1
48,4639,1
48,4976,1
48,5504,1
48,9484,2
48,14663,1
48,15576,1
48,24966,2
48,50345,1
48,100034,3
48,133096,1
49,785,1
49,963,1
49,1172,2
49,1214,1
49,1334,1
49,2042,1
49,4204,1
49,5121,1
49,5405,1
49,7376,1
49,7709,1
49,7927,1
49,9729,1
49,23882,1
49,69200,2
50,139,1
50,172,1
50,2088,1
50,5282,2
50,5283,1
50,7278,1
50,7603,1
50,39833,1
51,2,1
51,231,1
51,3290,1
51,5604,1
51,5785,1
51,9054,1
51,20085,2
51,20093,1
51,79575,1
52,16,1
52,876,1
52,1797,1
52,3316,1
52,4348,1
52,5245,1
52,11415,1
52,12668,1
52,15088,1
52,24812,1
53,226,1
53,301,1
53,767,1
53,2054,1
53,2628,1
53,2786,1
53,3460,1
53,4261,1
53,5790,1
53,5861,1
53,6710,1
53,15232,1
53,26606,1
53,39255,1
53,42358,1
54,1280,1
54,5610,1
54,6365,1
54,10391,1
54,20524,1
54,38261,1
54,43051,1
54,44825,1
54,51730,1
55,505,1
55,1131,1
55,1388,1
55,1988,1
55,2310,1
55,2479,1
55,3051,1
55,4377,1
55,4810,1
55,4917,1
55,6939,1
55,14821,1
55,14898,1
55,17902,1
55,27265,1
55,30480,1
55,53208,1
56,275,1
56,383,1
56,1194,1
56,1346,1
56,1606,1
56,1938,1
56,2285,1
56,2449,1
56,2863,1
56,3880,1
56,4028,1
56,7107,1
56,10143,1
56,12540,1
56,26281,1
56,31113,1
56,96834,1
57,62,1
57,203,1
57,511,1
57,515,1
57,870,1
57,1699,1
57,2508,1
57,3233,1
57,8170,1
57,9731,1
57,9898,1
57,21914,1
57,54219,1
57,158950,1
58,1581,1
58,2373,1
58,3652,1
58,3785,1
58,4530,2
58,6222,1
58,6288,1
58,6881,1
58,8504,1
58,17017,1
58,33275,1
58,122573,1
59,44,1
59,123,1
59,312,1
59,645,1
59,1170,1
59,1685,1
59,2625,1
59,2690,1
59,4314,1
59,5539,1
59,11286,2
59,35809,1
59,50439,1
59,71419,1
59,85121,1
59,94012,2
59,148725,2
60,1372,1
60,2036,1
60,2244,1
60,4469,1
60,5989,1
60,9168,1
60,17298,1
60,56137,2
61,482,1
61,1420,1
61,1961,1
61,1970,1
61,2408,1
61,2590,1
61,3011,1
61,3144,2
61,5327,1
61,22827,2
61,56121,1
61,90433,1
61,147268,2
62,137,1
62,531,1
62,1456,1
62,1634,1
62,2161,1
62,2254,1
62,2907,1
62,2989,1
62,4036,1
62,4442,1
62,14763,1
62,16546,1
62,17847,1
62,24022,1
62,25315,1
62,100443,1
63,51,1
63,207,1
63,340,1
63,403,1
63,445,1
63,690,1
63,948,1
63,1860,1
63,2009,1
63,2343,2
63,3009,1
63,3470,1
63,4848,1
63,15258,2
63,15964,1
63,19701,2
63,31970,1
63,36990,1
64,449,1
64,928,1
64,1810,1
64,4961,1
64,6324,1
64,6795,1
64,12799,1
64,36650,1
65,1010,1
65,1568,1
65,2246,1
65,2484,1
65,2709,1
65,4071,1
65,5716,1
65,7243,1
65,18967,1
65,45428,1
65,73364,1
66,547,1
66,1051,1
66,1066,1
66,1165,1
66,1317,1
66,3671,1
66,15492,2
66,35102,2
66,41105,1
66,62929,1
66,75249,2
66,114244,1
67,165,2
67,384,1
67,632,1
67,653,1
67,776,1
67,1687,1
67,1742,1
67,3586,1
67,5863,1
67,6383,1
67,9628,1
67,9818,1
67,10379,1
67,10811,1
67,13365,1
67,17131,1
67,27023,1
67,47926,1
67,151320,1
68,165,1
68,511,1
68,708,1
68,1390,1
68,1518,1
68,1747,1
68,2506,1
68,4509,1
68,4544,1
68,6058,1
68,7317,1
68,7570,1
68,8823,1
68,11202,4
68,29975,3
68,38829,2
68,41816,2
69,408,1
69,428,1
69,726,1
69,759,1
69,1048,1
69,2329,1
69,2764,1
69,10063,1
69,34381,1
70,502,1
70,2343,1
70,2435,1
70,7336,1
70,7370,1
71,89,1
71,908,1
71,914,1
71,1494,1
71,3035,1
71,4010,1
71,4947,1
71,7957,2
71,20374,2
71,26345,2
71,145015,2
72,176,1
72,264,1
72,718,1
72,1141,1
72,1372,1
72,2296,1
72,2671,1
72,3184,1
72,4377,1
72,7066,1
