rows,cols,strengths
0,1671,1
0,7687,1
0,52416,1
0,81754,1
0,157426,1
1,1875,1
1,7663,1
1,8188,1
1,28305,1
1,29867,7
1,46722,1
2,811,1
2,3071,1
2,3075,1
2,6388,1
2,14361,1
2,74477,3
3,2918,1
3,19632,2
3,22723,2
3,28607,1
4,2371,1
4,3918,1
4,5274,2
4,6215,1
6,1851,2
6,7992,1
6,12671,1
6,30196,1
7,2438,2
7,8608,3
7,10795,1
7,13361,1
7,14422,1
7,27207,2
7,32884,2
7,39708,1
8,3199,1
8,3513,1
9,98,1
9,119,1
9,2852,1
9,3386,2
9,5434,1
9,21995,1
9,34859,1
10,300,1
10,398,1
10,1508,1
10,4917,1
10,5675,1
10,7115,1
10,7638,2
11,27,1
11,13660,1
11,34192,1
12,510,1
12,550,1
12,2815,1
12,6708,1
12,76381,3
13,2093,1
13,111284,1
14,7439,1
14,13723,1
14,25564,2
15,408,1
15,55013,4
15,82121,2
16,459,1
16,1001,1
16,18969,1
16,20050,1
16,35948,1
16,131231,1
18,1095,1
18,5543,1
18,11815,1
18,19748,1
18,31235,1
18,42414,1
18,54819,1
18,91450,2
19,222,1
19,816,1
19,11443,1
19,18742,1
19,141734,1
20,99,1
20,1570,1
20,7836,1
20,9921,1
21,1850,1
21,17938,1
21,80040,2
22,2681,1
22,4269,3
22,17677,3
22,21472,2
23,2470,1
24,6629,1
24,13414,2
24,31805,2
24,57943,1
24,105781,2
25,187,1
25,4135,1
25,5118,1
25,105024,2
26,2100,3
26,5160,1
26,6263,1
26,8688,1
26,15102,3
26,58258,1
27,132,2
27,809,1
27,3284,1
27,11759,2
27,14746,1
27,15105,1
27,21811,1
27,63110,3
28,1713,2
28,17675,2
29,1148,1
29,7781,2
29,15413,1
29,33126,2
29,41393,1
30,125162,1
31,2056,1
31,3466,1
31,4649,1
31,25130,2
32,13167,2
32,18990,1
32,47369,1
33,346,1
33,4330,1
33,6653,2
33,14224,3
33,46314,2
34,11056,1
35,3748,1
35,53087,3
35,156645,6
36,3617,3
36,4637,1
36,34412,1
36,113931,1
36,166458,7
37,1783,2
38,5879,1
38,26948,1
38,27807,1
38,99804,4
39,7844,1
39,14039,2
39,17179,1
39,18506,2
39,36965,1
39,76152,4
40,4202,1
40,4463,1
40,11680,1
40,43757,1
41,871,1
41,3213,2
41,8800,1
42,2129,1
42,4896,1
42,5841,1
43,183,1
43,3289,1
43,4036,1
43,4802,1
43,5718,2
43,9403,1
44,1837,2
45,1578,1
45,2021,1
45,4904,1
45,8650,1
45,11699,1
45,20495,2
45,25620,1
45,136359,2
46,1204,1
46,1258,1
46,2947,1
46,51457,1
47,50357,1
48,2403,1
48,7365,1
48,15064,1
48,56048,3
49,282,1
49,463,1
49,3253,1
49,3393,1
49,11284,1
49,142269,2
50,4124,1
51,5175,1
51,20005,1
51,132699,2
52,572,1
52,2043,1
52,2434,1
52,6488,1
52,10109,1
52,14069,1
52,23799,1
52,62879,1
52,63192,1
53,158,1
53,873,1
53,64424,8
53,123230,4
54,885,1
54,6149,1
54,8953,1
54,35647,1
54,72363,1
54,160019,2
55,11689,1
55,18553,1
55,23163,2
55,57274,1
55,70940,8
55,99352,2
56,3084,1
56,6889,1
56,8888,2
56,30934,1
56,46287,2
56,144148,1
57,549,1
57,20979,1
57,24569,1
57,27627,2
58,11633,1
59,642,3
59,1657,1
59,24051,3
60,1588,1
60,10314,1
60,120703,2
61,6446,1
61,7472,1
61,32034,3
62,5680,1
62,21615,2
62,57811,2
63,601,1
63,1440,1
63,4931,1
63,7076,1
64,915,1
