rows,cols,strengths
0,22,1
0,103,1
0,582,1
0,3597,2
0,8199,1
0,14417,1
0,57999,3
1,1191,1
1,2414,1
1,10153,2
1,12789,2
2,170,1
2,1144,1
2,2576,1
2,4449,1
3,1704,1
3,1975,1
3,2585,1
3,6220,2
3,8131,1
4,858,1
4,1668,1
4,3836,2
4,3983,1
4,12181,3
5,3630,1
5,77824,1
6,712,1
6,29790,6
6,48400,10
7,50,1
7,565,1
7,26928,1
7,29903,1
8,643,1
8,1187,1
8,11066,1
8,18518,5
9,280,1
9,1083,1
9,2890,2
9,57533,1
9,68534,1
10,1379,1
10,2049,1
11,751,1
11,1204,1
11,1294,1
11,7784,1
11,11993,1
12,2683,1
12,2883,1
13,344,1
13,419,1
13,5336,2
13,8731,1
13,13036,1
13,16555,1
15,1018,1
15,70293,1
16,1095,1
16,1368,1
16,3388,1
16,4082,1
16,15590,1
16,19660,1
16,29264,1
17,1433,3
17,2389,2
17,7692,1
17,9560,1
18,994,1
18,2660,1
18,3167,1
18,8564,1
18,17698,1
19,49125,1
20,709,1
20,7745,3
21,6300,1
21,10583,1
21,14657,3
21,31492,3
22,173,1
22,370,1
22,53034,2
23,8802,1
23,14003,4
23,17661,1
23,23354,2
24,509,1
24,1891,1
24,6614,1
24,8776,1
25,110,1
25,1432,1
25,4290,1
25,5247,1
26,3874,1
26,9770,1
26,10920,4
26,52307,2
27,8935,1
27,9177,1
27,31567,1
27,40417,1
28,801,1
28,878,1
28,1652,1
28,1738,1
28,1740,1
28,4120,1
28,9649,1
29,3250,1
29,10290,1
29,11719,1
30,352,1
30,79058,5
31,1784,1
31,7156,2
31,24682,1
31,27848,2
32,16430,4
32,17878,4
32,23332,1
32,29200,2
33,1097,1
34,519,1
34,1229,1
34,3326,1
34,30682,1
35,438,2
35,6659,1
35,23382,1
35,49635,7
35,81937,3
36,849,1
36,1018,1
36,1354,2
37,1103,1
37,1947,1
37,3615,1
37,7038,1
37,55257,2
37,55367,9
38,2132,1
38,4018,1
38,5517,1
38,8327,2
38,17734,2
39,6134,1
39,6319,1
39,7673,1
39,11309,3
39,36239,1
41,425,2
41,705,1
41,941,1
41,6665,1
