rows,cols,strengths
0,1711,1
0,2979,2
0,4929,1
0,7495,1
0,8440,1
1,2546,2
1,2962,1
1,10392,2
2,3,1
2,72,1
2,159,1
2,280,1
2,350,1
2,666,1
2,1308,1
2,1650,1
2,1874,1
2,4332,1
2,4718,1
2,26554,4
3,609,1
3,1348,1
3,27750,1
4,931,1
4,1027,1
4,1193,1
4,11277,1
5,171,1
5,182,1
5,988,1
5,1079,1
5,1707,1
5,1930,1
5,6831,1
6,102,1
6,129,1
6,663,1
6,1842,1
6,3069,2
6,7136,1
6,7741,1
6,9930,2
6,37109,1
7,330,1
7,382,1
7,701,1
7,1434,1
7,1653,1
7,7056,1
7,10087,2
7,18900,1
8,242,1
8,340,1
8,346,1
8,464,1
8,609,1
8,714,1
8,869,1
8,1511,1
8,12596,1
8,18400,1
9,12,1
9,22,1
9,70,1
9,2393,1
9,5102,2
9,5146,2
9,5496,4
10,29,1
10,68,1
10,71,1
10,78,1
10,374,1
10,1467,1
10,1740,1
10,8442,2
10,15765,1
10,17430,1
11,59,1
11,216,1
11,238,1
11,1695,1
11,2101,1
11,4028,3
11,6856,3
11,8041,1
11,12237,1
11,13224,1
12,151,1
12,187,1
12,238,1
12,725,1
12,1698,1
12,16560,1
13,772,1
13,2435,1
13,8207,1
13,15491,1
13,15668,1
14,7,1
14,163,2
14,1938,1
14,6980,1
14,19423,3
14,20597,1
15,1308,1
15,1493,1
15,4078,1
15,20204,2
16,512,1
16,646,1
16,940,1
16,1521,1
16,2161,1
16,2506,1
16,4170,1
16,13346,1
16,16091,1
16,18044,1
17,1014,1
18,51,1
18,232,1
18,548,1
18,760,1
18,1856,1
18,4825,1
18,13339,1
19,743,1
19,10368,1
20,1216,1
20,1295,1
20,1856,1
20,3278,1
20,5092,1
20,10922,2
21,92,1
21,209,1
21,367,1
21,806,1
21,2325,1
21,2722,3
21,4037,1
21,28582,3
22,4265,1
23,595,1
23,1529,1
24,378,1
24,491,1
24,2456,1
25,84,1
25,336,1
25,640,1
25,3771,2
26,14,1
26,91,2
26,97,1
26,131,1
26,160,1
26,192,1
26,369,1
26,563,1
26,765,1
26,905,1
26,937,1
26,1289,1
26,1725,1
26,18495,1
26,25416,1
27,360,1
27,818,1
27,9459,1
28,126,1
28,466,1
28,1029,1
28,1113,1
28,2596,1
28,2771,1
29,64,1
29,136,1
29,226,1
29,7677,1
29,9261,1
30,80,1
30,201,1
30,1235,1
30,1423,1
30,2845,1
30,7095,1
30,8235,1
30,21615,3
30,37296,1
31,131,1
31,193,1
31,376,1
31,399,1
31,8541,2
31,8628,2
31,18717,6
32,149,1
32,152,1
32,669,1
32,1244,1
33,3,1
33,8,1
33,762,1
33,1459,1
33,1967,1
33,9657,2
34,42,1
34,764,1
34,3410,1
35,57,1
35,64,1
35,131,1
35,354,1
35,409,1
35,628,1
35,1978,1
35,29384,6
36,217,1
36,541,1
36,1283,1
36,1654,1
36,3314,1
36,3374,2
36,3851,2
36,14503,1
36,25633,1
37,105,1
37,130,1
37,262,2
37,583,1
37,672,1
37,690,1
37,1348,2
37,1671,1
37,3204,1
37,3812,1
37,7251,1
38,138,1
38,473,1
38,970,1
38,1771,1
38,2813,1
38,10186,1
39,781,1
39,4970,2
39,8361,1
40,447,1
40,1736,1
40,9996,7
41,638,1
41,1297,1
41,3720,2
41,4124,1
42,6,1
42,161,1
42,255,1
42,400,1
42,1449,1
42,4087,1
42,5808,1
