rows,cols,strengths
0,32,1
0,682,1
0,860,1
0,1025,1
0,1078,1
0,1084,1
0,1896,1
0,2116,1
0,3695,1
0,13208,1
1,209,1
1,238,1
1,252,1
1,300,1
1,475,1
1,558,2
1,885,1
1,1131,1
1,1285,1
1,1596,1
1,1692,1
1,1795,1
1,2783,1
1,7079,1
1,7983,1
1,26845,9
2,24,1
2,74,1
2,290,1
2,559,1
2,584,1
2,979,1
2,1378,1
2,3108,1
2,3321,1
2,13939,1
3,74,1
3,98,1
3,185,1
3,252,2
3,453,1
3,514,1
3,943,1
3,1873,1
3,3171,1
3,3305,1
3,3672,1
3,4470,1
3,5697,2
4,45,1
4,286,1
4,312,1
4,325,1
4,332,1
4,335,1
4,522,1
4,878,1
4,1236,1
4,1606,2
4,1986,1
4,5655,3
4,5918,1
4,6755,1
4,20235,1
4,23946,1
5,63,1
5,126,1
5,181,1
5,262,1
5,355,1
5,453,1
5,705,1
5,776,1
5,801,1
5,865,1
5,1132,1
5,3151,1
5,4704,1
5,14986,4
5,28428,2
6,22,1
6,94,1
6,134,1
6,256,1
6,333,1
6,443,1
6,4368,1
6,9119,1
6,11773,1
6,18386,1
7,8,1
7,95,1
7,1339,1
7,1345,1
7,1810,1
7,3103,1
7,4578,1
7,8038,1
8,113,1
8,152,1
8,347,1
8,692,1
8,987,4
8,1455,1
8,1747,1
8,3108,1
8,3834,1
8,8148,2
9,324,1
9,608,1
9,765,1
9,1936,1
9,14890,1
10,227,1
10,528,1
10,574,1
10,1451,1
10,3339,1
10,3803,1
10,7277,1
11,41,1
11,77,1
11,598,1
11,626,1
11,1074,1
11,1436,1
11,1466,1
11,1675,1
11,2255,1
11,3197,2
11,4512,1
11,5467,1
11,7549,2
12,89,1
12,238,1
12,402,1
12,411,1
12,416,1
12,684,1
12,699,1
12,1127,1
12,1519,1
13,49,1
13,129,1
13,204,1
13,252,1
13,254,1
13,280,1
13,324,1
13,484,1
13,787,1
13,855,1
13,2031,2
13,2390,2
13,2538,1
13,3135,1
13,4447,2
14,121,1
14,241,1
14,281,1
14,371,2
14,405,1
14,1135,1
14,1326,1
14,1331,1
14,2330,1
