rows,cols,strengths
0,2854,1
0,11923,2
0,70069,1
1,1702,1
1,23113,2
2,1327,1
2,4685,1
2,5800,1
2,7856,1
4,3992,3
4,4375,1
4,36270,1
5,609,1
5,6750,4
5,71729,4
6,1595,2
6,8186,1
6,14645,1
7,338,1
7,1441,1
7,1504,1
7,1772,1
7,24699,1
7,28920,5
7,58517,1
8,442,1
8,1346,1
8,6775,1
9,741,1
9,1020,1
9,3739,1
9,8979,4
10,1618,4
11,39,2
11,75909,2
12,2876,1
12,14063,4
12,14491,1
12,31923,1
12,70231,2
13,2219,1
13,13440,1
13,16016,1
14,3020,1
14,13701,2
14,17015,1
14,67919,1
15,12,1
15,2320,1
15,9672,1
16,3417,2
16,18973,1
17,2333,1
17,11376,1
17,27326,2
17,40103,1
18,860,1
18,9021,1
19,12893,3
19,27314,2
20,757,1
20,15347,2
20,27421,2
21,1780,4
21,3710,1
21,7525,2
21,18820,2
22,992,1
22,1295,2
22,2250,3
22,8243,1
22,13569,1
22,19269,1
22,35518,2
22,44257,1
22,47007,4
23,1082,1
23,1605,1
23,5119,1
23,7594,1
23,12148,4
23,16364,2
24,4083,1
24,4832,1
24,9553,2
24,18943,1
24,24321,1
24,29087,1
24,33367,5
25,648,1
25,935,1
25,16385,2
25,27024,1
26,130,1
26,5268,3
26,6113,1
26,22454,1
27,1131,1
27,7149,1
28,1895,1
28,2765,1
29,4074,1
29,4089,2
29,5021,2
30,2308,1
30,3511,1
30,15439,1
30,28381,2
30,51992,3
30,79321,1
31,26,1
31,312,1
32,7131,1
33,598,1
33,1596,1
33,4284,1
34,2054,1
34,7062,1
34,15469,1
34,44559,1
36,4700,1
36,5199,2
36,6048,1
36,31260,2
36,73374,5
37,830,1
37,68584,3
37,84370,2
38,100,1
38,13653,3
39,1237,1
39,3606,1
39,4678,2
39,15235,1
40,27,1
40,32,1
40,87,1
40,1000,1
40,4269,1
40,4994,2
41,1295,1
41,27605,2
41,29612,1
42,1720,2
42,13015,1
42,20720,1
43,13520,1
43,31870,3
44,4901,1
44,10055,2
45,425,1
45,6742,1
45,15447,1
46,4926,1
47,280,1
47,664,1
47,2628,1
47,3722,1
47,16164,4
48,2657,1
48,3255,1
48,8482,1
49,20531,1
49,21293,1
49,30453,1
51,832,1
51,1064,1
51,3198,1
51,3635,1
52,1064,1
52,7582,2
52,10043,1
52,16856,1
53,27281,1
53,41427,5
54,588,1
55,957,1
55,11884,3
55,19027,2
57,2244,2
57,3324,1
57,4954,2
58,750,1
58,764,1
58,5946,1
58,20890,1
58,29271,2
59,190,1
59,4122,1
60,64940,2
61,51,1
61,2699,1
61,2957,1
61,4512,1
62,23339,1
62,46347,2
63,1332,1
63,5065,1
63,10895,1
64,1755,1
64,3166,1
64,3494,1
64,6202,1
65,1010,1
65,1941,1
65,24585,3
65,68795,5
66,1192,1
66,1423,1
66,3662,1
66,10708,2
67,740,1
