rows,cols,strengths
0,239,2
0,377,1
0,889,1
0,1053,1
0,3994,3
0,5627,1
1,197,1
1,384,1
1,556,1
1,613,1
1,2449,1
1,6102,1
1,7808,1
1,17340,1
2,93,1
2,121,1
2,157,1
2,252,1
2,332,1
2,629,1
2,4079,1
2,4204,2
2,6520,2
2,31689,3
3,269,1
3,403,1
3,546,1
3,754,1
3,1254,1
3,2965,1
3,9817,1
3,22517,2
4,120,1
4,128,1
4,279,1
4,401,1
4,738,1
4,1143,1
4,4328,1
4,7704,1
5,57,1
5,80,1
5,499,1
5,1459,1
5,1537,1
5,1814,1
5,1846,1
5,5385,2
5,6288,1
5,23444,1
6,86,1
6,130,1
6,673,1
6,1112,1
6,1242,3
6,2212,1
6,7864,1
6,15678,1
7,32,1
7,33,1
7,229,1
7,1015,1
7,1016,1
7,1152,2
7,2250,1
7,2611,1
7,3348,1
7,5832,2
8,48,1
8,152,1
8,172,1
8,225,1
8,6636,1
8,8108,1
9,40,1
9,61,1
9,409,1
9,1128,1
9,1378,1
9,2609,3
9,5090,2
9,8435,1
9,23767,1
10,139,1
10,269,1
10,634,1
10,7369,3
10,8183,1
10,15252,1
11,43,1
11,207,1
11,531,1
12,162,1
12,321,1
12,622,1
12,654,1
12,704,1
12,842,1
12,1024,1
12,1033,1
12,1965,4
12,4756,1
12,12840,1
12,14903,1
13,202,1
13,237,1
13,437,1
13,468,1
13,794,1
13,2397,1
13,6566,1
13,13900,1
13,16280,2
13,27857,1
14,98,1
14,330,1
14,358,1
14,396,1
14,1419,1
14,1775,1
14,3798,1
14,9903,1
15,32,1
15,282,1
15,357,1
15,2144,1
15,2943,1
15,3504,2
15,8199,1
15,8926,1
16,203,1
16,226,1
16,366,1
16,797,1
16,808,1
16,1287,1
16,4242,1
16,4981,2
16,36838,2
17,382,1
17,1301,1
17,3719,2
18,405,2
18,412,1
18,485,1
18,847,1
18,3406,1
18,3728,1
18,8508,1
18,10243,1
19,1,1
19,21,1
19,34,1
19,60,1
19,358,1
19,397,1
19,427,1
19,501,1
19,913,1
19,1114,1
19,17052,2
19,21517,1
20,122,1
20,328,1
20,385,1
20,432,1
20,708,1
20,854,1
20,923,1
20,1214,1
20,1893,2
20,5370,1
20,34910,1
21,49,1
21,277,1
21,777,1
21,2073,1
21,3672,1
21,8696,1
21,34841,1
22,9,1
22,286,1
22,343,1
22,540,1
22,589,1
22,651,1
22,1033,1
22,1934,1
22,2565,1
22,2741,1
22,3296,2
22,4538,2
22,4641,1
22,5915,1
23,466,1
23,714,1
23,887,1
23,3164,1
23,3355,2
23,6614,1
23,14956,2
24,0,1
24,32,1
24,232,1
24,422,1
24,453,1
24,905,1
24,1044,1
24,1602,3
24,2170,1
24,10149,1
24,13238,2
24,18804,1
25,78,1
25,108,2
25,117,1
25,165,2
25,193,1
25,256,1
25,447,1
25,887,1
25,1030,1
25,1081,1
25,1606,1
25,1884,1
25,2273,1
25,3824,1
25,4005,1
25,4588,1
25,6264,1
25,7245,1
25,14040,1
25,37858,1
26,89,1
26,296,1
26,470,1
26,1034,1
26,15195,1
26,23635,1
27,270,2
27,1002,1
27,1052,1
27,1263,1
27,1726,2
27,2110,1
27,2291,2
27,2975,1
27,6663,1
27,31891,1
28,55,1
28,117,1
28,136,1
28,218,1
28,296,1
28,1374,1
28,2404,6
28,3729,1
28,4721,1
28,27149,1
29,6,1
29,73,1
29,86,1
29,190,1
29,250,1
29,254,1
29,287,1
29,328,1
29,493,1
29,571,1
29,620,1
29,1286,1
29,2630,1
29,3259,2
29,6546,1
29,8488,1
29,28822,1
30,108,1
30,124,1
30,210,3
30,2354,1
30,2859,1
30,3474,2
30,37723,1
30,39387,1
31,66,1
31,192,1
31,266,1
31,272,1
31,275,1
31,410,1
31,479,1
31,805,1
31,1642,1
31,1788,2
31,2179,4
31,3023,1
31,3375,2
31,6179,1
31,6288,1
31,31425,1
32,61,1
32,1410,2
32,1494,1
32,1942,1
32,2618,1
32,3154,1
32,6176,1
32,37932,3
33,23,1
33,127,1
33,277,1
33,366,1
33,2318,1
33,3750,1
33,6887,1
34,150,1
34,175,1
34,186,1
34,851,1
34,990,1
34,2529,1
34,2848,1
34,2914,1
34,5379,1
34,6714,1
35,542,1
35,673,1
35,766,1
35,916,1
35,1201,1
35,1904,1
35,2825,1
35,2918,1
35,17284,2
35,27646,2
36,93,1
36,200,1
36,348,1
36,395,1
36,611,1
36,923,1
36,926,1
36,1029,1
36,2313,1
36,2404,1
36,2869,1
36,3113,1
36,3253,1
36,4106,1
36,4227,1
36,7749,1
36,7762,2
36,8338,1
36,8923,2
36,28728,1
37,87,1
37,111,1
37,1257,1
37,2944,1
37,3212,1
37,7121,1
37,9630,1
37,19574,1
37,31239,1
38,179,1
38,193,1
38,352,1
38,417,2
38,539,1
38,759,1
38,1222,1
38,1342,1
38,1946,1
38,4639,1
38,5128,1
38,5214,4
38,8711,1
39,657,1
39,763,1
39,1395,1
39,1940,1
39,2527,1
39,2594,1
39,3386,1
39,24433,1
40,61,1
40,93,1
40,146,1
40,200,1
40,246,1
40,675,1
40,1021,1
40,1529,1
40,5829,1
40,20550,1
41,117,1
41,129,1
41,511,1
41,518,1
41,1033,1
42,20,1
42,340,1
42,343,1
42,432,1
42,499,1
42,633,1
42,680,1
42,1314,2
42,1553,1
42,1872,1
42,1934,1
42,2691,1
42,8362,1
42,15281,1
42,17471,4
42,33378,3
43,72,1
43,198,1
43,432,1
43,662,1
43,1761,1
43,1838,1
43,2511,1
43,4961,1
43,9649,1
43,17357,3
43,34510,2
44,16,1
44,21,1
44,72,1
44,155,2
44,260,1
44,353,1
44,477,1
44,676,1
44,1019,1
44,2320,2
44,4349,2
44,5668,1
45,51,1
45,341,1
45,391,1
45,445,1
45,1637,1
45,3799,1
45,5362,1
45,8724,2
45,14634,3
46,132,1
46,231,1
46,574,1
46,792,1
46,2157,1
46,3096,1
46,24445,1
46,34422,1
47,486,2
47,504,2
47,1099,1
47,2127,1
47,3735,1
47,4737,1
47,5821,1
48,209,1
48,263,1
48,305,1
48,344,1
48,436,1
48,795,1
48,853,2
48,1276,1
48,3696,1
48,30094,3
49,13,1
49,530,1
49,610,1
49,871,1
49,907,1
49,1055,1
49,2236,1
49,2975,1
49,5748,1
49,6042,2
50,14,2
50,279,1
50,430,1
50,1664,1
50,2011,1
51,44,1
51,186,2
51,390,1
51,781,1
51,1817,1
51,2126,1
51,2299,1
51,2420,1
51,2512,1
51,4620,1
51,24095,1
52,151,1
52,152,1
52,530,1
52,664,1
