rows,cols,strengths
0,54,1
0,674,1
0,892,1
0,1411,1
0,1800,1
0,4377,2
0,4721,1
0,19531,1
0,26084,1
0,53792,1
1,812,1
1,907,1
1,3202,1
1,3378,1
1,6801,1
1,7333,2
1,10350,1
1,12313,2
1,23683,1
1,28694,1
1,32293,1
1,74501,2
1,77600,3
2,152,1
2,311,1
2,352,1
2,864,1
2,1728,1
2,3820,1
2,3888,1
2,4807,1
2,5149,1
2,6867,1
2,7237,1
2,7337,1
2,13728,1
2,16090,1
2,19697,1
2,21534,1
2,27080,1
2,63933,3
2,165807,1
2,209711,2
2,236312,1
3,327,1
3,1456,1
3,1952,1
3,4281,1
3,5737,1
3,10616,1
3,11238,1
3,21605,1
3,27423,1
3,33715,1
3,57194,1
3,69619,1
4,1283,1
4,2341,1
4,2744,1
4,3279,1
4,4434,1
4,7713,1
4,11307,1
4,14410,1
4,17218,1
4,29207,1
5,50,1
5,884,2
5,1166,1
5,1407,1
5,1609,1
5,1653,1
5,1700,1
5,1797,1
5,2553,1
5,3331,1
5,6046,1
5,12470,1
5,15019,1
5,16394,1
5,24559,2
5,28092,1
5,32258,1
5,159625,2
5,171846,1
6,689,1
6,2221,1
6,2334,1
6,4098,1
6,10622,1
6,11233,1
6,12762,1
6,14669,1
6,152912,1
6,217147,3
7,1331,1
7,1567,1
7,1598,1
7,2149,1
7,2436,1
7,3652,1
7,6857,1
7,8055,1
7,14566,1
7,22609,1
7,41990,1
7,87971,2
7,112276,3
8,441,1
8,1803,1
8,2820,1
8,3206,1
8,7583,1
8,12296,1
8,26936,1
8,55543,1
9,399,1
9,522,1
9,758,1
9,1416,1
9,3553,1
9,3612,1
9,3712,1
9,4121,1
9,4527,1
9,4741,1
9,4857,1
9,4944,1
9,5025,1
9,7699,1
9,8928,2
9,13080,1
9,15597,1
9,49062,4
9,63179,1
9,107349,1
9,116125,2
9,182102,1
10,505,1
10,634,1
10,2338,1
10,4507,1
10,8242,1
10,19486,1
10,25090,1
10,32892,1
10,42163,1
11,161,1
11,224,1
11,522,1
11,678,2
11,1533,1
11,2098,1
11,2292,1
11,3393,1
11,6318,1
11,12535,1
11,12588,1
11,38178,1
11,84604,1
11,104225,3
11,176790,2
12,499,1
12,1251,1
12,1283,1
12,1407,1
12,1674,1
12,3688,1
12,4009,1
12,5552,1
12,5610,1
12,6417,1
12,6724,1
12,9152,1
12,11636,1
12,14833,1
12,19943,1
12,29974,1
12,33410,1
12,33617,1
12,38393,1
12,52347,1
12,60987,1
12,182647,1
13,357,1
13,1344,1
13,1407,1
13,3504,1
13,7676,1
13,8508,1
13,13591,1
13,18114,1
14,123,1
14,233,1
14,1313,1
14,1600,1
14,4248,1
14,7526,1
14,11588,1
14,13553,1
14,14501,1
14,27879,1
14,35329,1
14,110841,1
14,219987,1
15,133,1
15,733,1
15,1469,1
15,4070,1
15,10234,1
15,24256,1
15,28861,1
15,54164,1
15,61891,1
15,73039,1
15,243551,2
16,44,1
16,2682,1
16,3334,1
16,3543,1
16,4249,1
